customer_id,customer_name,email,phone,address,premium_member
101,Josh Hart,,4379804500,4154 Nelson Street,Yes
102,Kevin Hart,Kevin@gmail.com,4379804501,1117 Heatherleigh,Yes
103,Julius Randle,Julius@gmail.com,4379804502,4881 Dundas St,Yes
104,Zion Williamson,Zion@gmail.com,4379804503,3360 Lynden Road,Yes
105,John Clarkson,John@gmail.com,4379804504,2187 Exmouth Street,Yes
106,Max Christie,Max@gmail.com,4379804505,583 Birkett Lane,Yes
107,Richard Miller,,4379804506,4651 Wellington Street,No
108,Clarke Henderson,Clarke@gmail.com,4379804507,4265 Coldstream Avenue,No
109,Draymond Green,Draymond@gmail.com,4379804508,3269 Reserve St,Yes
110,Chris  Paul,Chris @gmail.com,4379804509,2844 Blanshard,Yes
111,Steven Adams,Steven@gmail.com,4379804510,1714 Sturgeon Drive,Yes
112,Santi Aldama,Santi@gmail.com,4379804511,3465 rue Principale,No
113,Grayson Allen,Grayson@gmail.com,4379804512,990 Boulevard Cremazie,Yes
114,Jarret Alen,Jarret@gmail.com,4379804513,2351 Duke Street,No
115,Jose Alvarado,Jose@gmail.com,4379804514,582 Ross Street,Yes
116,Kyle Anderson,Kyle@gmail.com,4379804515,2207 Galts Ave,Yes
117,Cole Anthony,,4379804516,1562 Ste. Catherine Ouest,No
118,Deandre Ayton,Deandre@gmail.com,4379804517,3597 rue de la Gauchetière,Yes
119,Marvin Bagley,Marvin@gmail.com,4379804518,4738 Mesa Vista Drive,Yes
120,Lamelo Ball,Lamelo@gmail.com,4379804519,3219 rue Ontario Ouest,No
121,Patrick Baldwin,Patrick@gmail.com,4379804520,4867 Eglinton Avenue,No
122,Paolo Banchero,Paolo@gmail.com,4379804521,2645 Blanshard,Yes
123,Desmond Bane,Desmond@gmail.com,4379804522,4577 Park Ct,Yes
124,Harison Barnes,Harison@gmail.com,4379804523,3339 90th Avenue,Yes
125,Nicolas Batum,Nicolas@gmail.com,4379804524,4138 Bay Street,Yes
126,Bradley Beal,Bradley@gmail.com,4379804525,2419 Victoria Park Ave,No
127,Malik Beasely,Malik@gmail.com,4379804526,4814 137th Avenue,No
128,Patrick Beverly,Patrick@gmail.com,4379804527,3528 rue Saint-Édouard,Yes
129,Scottie Barnes,Scottie@gmail.com,4379804528,3054 Scotts Lane,Yes
130,Amari Bailey,,4379804529,99 Glover Road,No
131,Efrat Shapir,Efrat@gmail.com,4379804530,1718 Mesa Vista Drive,No
132,Jayanthi Rajagopalan,Jayanthi@gmail.com,4379804531,3742 3rd Avenue,Yes
133,Mark Young,Mark@gmail.com,4379804532,967 Acton Avenue,No
134,Michelle White,,4379804533,1142 Duke Street,Yes
135,Nimao Ali,Nimao@gmail.com,4379804534,434 rue des Églises Est,Yes
136,Mohammed Saleem,Mohammed@gmail.com,4379804535,4461 Carling Avenue,Yes
137,Deqa Farah,Deqa@gmail.com,4379804536,2157 Roger Street,Yes
138,Ana Mohamed,Ana@gmail.com,4379804537,2323 Granville St,Yes
139,Stephanie Montojo,Stephanie@gmail.com,4379804538,2121 rue Levy,No
140,Janice Gruchy,Janice@gmail.com,4379804539,4 Thurston Dr,Yes
141,Giti Fatemi,Giti@gmail.com,4379804540,4488 Fallon Drive,Yes
142,Tara Teeling,Tara@gmail.com,4379804541,3526 Toy Avenue,Yes
143,Jeff McNair,,4379804542,3491 James Street,Yes
144,Di Chang,Di@gmail.com,4379804543,3662 St. John Street,No
145,Laura Mazer,Laura@gmail.com,4379804544,469 St Jean Baptiste St,No
146,Félicité Daou,Félicité@gmail.com,4379804545,633 rue Principale,Yes
147,Roy Wagner,Roy@gmail.com,4379804546,2160 Thatcher Avenue,Yes
148,Sylvia Martignani,Sylvia@gmail.com,4379804547,4580 rue Saint-Antoine,Yes
149,Ahmad Zelzle,,4379804548,3005 Main St,No
150,Reema Malik,Reema@gmail.com,4379804549,3539 Eglinton Avenue,Yes
151,Jeenat Ara,Jeenat@gmail.com,4379804550,3184 Jade St,Yes
152,Yussria Rahman,Yussria@gmail.com,4379804551,1724 Essendene Avenue,No
153,Aisha Sherazi,Aisha@gmail.com,4379804552,1176 Pine Street,No
154,Sayyid Ali,Sayyid@gmail.com,4379804553,1175 Sheppard Ave,Yes
155,Majida Saab,Majida@gmail.com,4379804554,2329 Township Rd,Yes
156,Imran Haq,Imran@gmail.com,4379804555,4997 Alaska Hwy,Yes
157,Mohammed Ilyas,Mohammed@gmail.com,4379804556,926 Bridgeport Rd,Yes
